"Name","FullName","Mode","Length","LastWriteTime"
"tsconfig.tsbuildinfo","C:\Users\speci.000\Documents\NEXUS\tsconfig.tsbuildinfo","-a---","330987","05/20/2026 5:04:27 AM"
"eslint.config.mjs","C:\Users\speci.000\Documents\NEXUS\eslint.config.mjs","-a---","1899","05/20/2026 4:59:28 AM"
"package.json","C:\Users\speci.000\Documents\NEXUS\package.json","-a---","3241","05/20/2026 4:56:31 AM"
"bun.lock","C:\Users\speci.000\Documents\NEXUS\bun.lock","-a---","332016","05/20/2026 4:56:31 AM"
"src","C:\Users\speci.000\Documents\NEXUS\src","d----",,"05/20/2026 12:52:10 AM"
".gitignore","C:\Users\speci.000\Documents\NEXUS\.gitignore","-a---","807","05/19/2026 11:46:31 PM"
"cline_agent_review.md","C:\Users\speci.000\Documents\NEXUS\cline_agent_review.md","-a---","9298","05/19/2026 9:25:23 PM"
"NEO_NEXUS_GROUNDING.md","C:\Users\speci.000\Documents\NEXUS\NEO_NEXUS_GROUNDING.md","-a---","15494","05/19/2026 11:23:44 AM"
".tmp","C:\Users\speci.000\Documents\NEXUS\.tmp","d----",,"05/19/2026 11:20:33 AM"
"nexus_grounding_report.md","C:\Users\speci.000\Documents\NEXUS\nexus_grounding_report.md","-a---","11224","05/19/2026 11:09:51 AM"
"nexus-os-v2","C:\Users\speci.000\Documents\NEXUS\nexus-os-v2","d----",,"05/19/2026 9:28:39 AM"
"README.md","C:\Users\speci.000\Documents\NEXUS\README.md","-a---","14558","05/19/2026 8:31:02 AM"
"nexus_os","C:\Users\speci.000\Documents\NEXUS\nexus_os","d----",,"05/19/2026 8:10:36 AM"
"pyproject.toml","C:\Users\speci.000\Documents\NEXUS\pyproject.toml","-a---","417","05/19/2026 8:04:11 AM"
"nexusctl","C:\Users\speci.000\Documents\NEXUS\nexusctl","d----",,"05/19/2026 8:04:11 AM"
"AGENTS.md","C:\Users\speci.000\Documents\NEXUS\AGENTS.md","-a---","6220","05/19/2026 8:04:11 AM"
".env","C:\Users\speci.000\Documents\NEXUS\.env","-a---","8779","05/19/2026 2:05:49 AM"
".nexus_diagnostics","C:\Users\speci.000\Documents\NEXUS\.nexus_diagnostics","d----",,"05/19/2026 2:05:49 AM"
".env.local","C:\Users\speci.000\Documents\NEXUS\.env.local","-a---","409","05/19/2026 1:44:40 AM"
"worklog.md","C:\Users\speci.000\Documents\NEXUS\worklog.md","-a---","10648","05/18/2026 10:38:02 PM"
"upload","C:\Users\speci.000\Documents\NEXUS\upload","d----",,"05/18/2026 10:38:02 PM"
"sandbox","C:\Users\speci.000\Documents\NEXUS\sandbox","d----",,"05/18/2026 10:38:02 PM"
"package.json.tmp","C:\Users\speci.000\Documents\NEXUS\package.json.tmp","-a---","0","05/18/2026 10:38:02 PM"
"download","C:\Users\speci.000\Documents\NEXUS\download","d----",,"05/18/2026 10:38:02 PM"
"db","C:\Users\speci.000\Documents\NEXUS\db","d----",,"05/18/2026 10:38:02 PM"
"components.json","C:\Users\speci.000\Documents\NEXUS\components.json","-a---","450","05/18/2026 10:38:02 PM"
"cloud_pack","C:\Users\speci.000\Documents\NEXUS\cloud_pack","d----",,"05/18/2026 10:38:02 PM"
"agent-ctx","C:\Users\speci.000\Documents\NEXUS\agent-ctx","d----",,"05/18/2026 10:38:02 PM"
".z-ai-config","C:\Users\speci.000\Documents\NEXUS\.z-ai-config","-a---","50","05/18/2026 10:38:02 PM"
".codex","C:\Users\speci.000\Documents\NEXUS\.codex","d----",,"05/18/2026 10:38:02 PM"
"twave","C:\Users\speci.000\Documents\NEXUS\twave","d----",,"05/18/2026 10:38:02 PM"
"nexus-os-v2-hf","C:\Users\speci.000\Documents\NEXUS\nexus-os-v2-hf","d----",,"05/18/2026 10:38:02 PM"
"examples","C:\Users\speci.000\Documents\NEXUS\examples","d----",,"05/18/2026 10:38:02 PM"
".env_corrupted_backup.txt","C:\Users\speci.000\Documents\NEXUS\.env_corrupted_backup.txt","-a---","13668","05/18/2026 9:20:04 AM"
".kilo","C:\Users\speci.000\Documents\NEXUS\.kilo","d----",,"05/18/2026 6:24:30 AM"
".env_backup.txt","C:\Users\speci.000\Documents\NEXUS\.env_backup.txt","-a---","0","05/18/2026 2:01:44 AM"
".cline","C:\Users\speci.000\Documents\NEXUS\.cline","d----",,"05/15/2026 6:14:22 PM"
"pi-session-2026-05-12T01-45-21-849Z_019e19dc-32b8-7399-b033-ab11c960cafa.html","C:\Users\speci.000\Documents\NEXUS\pi-session-2026-05-12T01-45-21-849Z_019e19dc-32b8-7399-b033-ab11c960cafa.html","-a---","978604","05/15/2026 5:23:27 PM"
"test_heartbeat.db","C:\Users\speci.000\Documents\NEXUS\test_heartbeat.db","-a---","86016","05/15/2026 3:34:21 PM"
".qodo","C:\Users\speci.000\Documents\NEXUS\.qodo","d----",,"05/15/2026 1:21:18 PM"
"tasks","C:\Users\speci.000\Documents\NEXUS\tasks","d----",,"05/15/2026 11:26:30 AM"
"pi-session-2026-05-15T04-08-28-478Z_019e29d2-4c3d-774b-a6a8-5d8922126d59.html","C:\Users\speci.000\Documents\NEXUS\pi-session-2026-05-15T04-08-28-478Z_019e29d2-4c3d-774b-a6a8-5d8922126d59.html","-a---","363268","05/15/2026 8:51:29 AM"
"Modelfile","C:\Users\speci.000\Documents\NEXUS\Modelfile","-a---","182","05/15/2026 7:59:05 AM"
"session-ses_1e41.md","C:\Users\speci.000\Documents\NEXUS\session-ses_1e41.md","-a---","589452","05/15/2026 7:59:05 AM"
".brv","C:\Users\speci.000\Documents\NEXUS\.brv","d----",,"05/15/2026 7:49:38 AM"
".pytest_cache","C:\Users\speci.000\Documents\NEXUS\.pytest_cache","d----",,"05/15/2026 4:58:21 AM"
".nexus_pi","C:\Users\speci.000\Documents\NEXUS\.nexus_pi","d----",,"05/14/2026 5:07:46 AM"
".openacp","C:\Users\speci.000\Documents\NEXUS\.openacp","d----",,"05/13/2026 7:20:48 PM"
"CLAUDE.md","C:\Users\speci.000\Documents\NEXUS\CLAUDE.md","-a---","190","05/13/2026 6:20:48 PM"
".pi","C:\Users\speci.000\Documents\NEXUS\.pi","d----",,"05/13/2026 6:12:56 PM"
"v4 plans and related doc with codes","C:\Users\speci.000\Documents\NEXUS\v4 plans and related doc with codes","d----",,"05/13/2026 6:01:57 PM"
"data","C:\Users\speci.000\Documents\NEXUS\data","d----",,"05/13/2026 6:01:50 PM"
"bin","C:\Users\speci.000\Documents\NEXUS\bin","d----",,"05/13/2026 6:01:50 PM"
"NEO-TEAM_nexus-integration","C:\Users\speci.000\Documents\NEXUS\NEO-TEAM_nexus-integration","d----",,"05/13/2026 6:01:50 PM"
".opencode","C:\Users\speci.000\Documents\NEXUS\.opencode","d----",,"05/13/2026 6:01:50 PM"
".brv.backup-20260427","C:\Users\speci.000\Documents\NEXUS\.brv.backup-20260427","d----",,"05/13/2026 6:01:46 PM"
"tsconfig.json","C:\Users\speci.000\Documents\NEXUS\tsconfig.json","-a---","730","05/13/2026 5:58:35 PM"
"tailwind.config.ts","C:\Users\speci.000\Documents\NEXUS\tailwind.config.ts","-a---","1696","05/13/2026 5:58:35 PM"
"start.sh","C:\Users\speci.000\Documents\NEXUS\start.sh","-a---","90","05/13/2026 5:58:35 PM"
"start-server.sh","C:\Users\speci.000\Documents\NEXUS\start-server.sh","-a---","88","05/13/2026 5:58:35 PM"
"skills","C:\Users\speci.000\Documents\NEXUS\skills","d----",,"05/13/2026 5:58:35 PM"
"server.pid","C:\Users\speci.000\Documents\NEXUS\server.pid","-a---","5","05/13/2026 5:58:34 PM"
"server-daemon.sh","C:\Users\speci.000\Documents\NEXUS\server-daemon.sh","-a---","501","05/13/2026 5:58:34 PM"
"run-dev.sh","C:\Users\speci.000\Documents\NEXUS\run-dev.sh","-a---","88","05/13/2026 5:58:34 PM"
"public","C:\Users\speci.000\Documents\NEXUS\public","d----",,"05/13/2026 5:58:34 PM"
"prisma","C:\Users\speci.000\Documents\NEXUS\prisma","d----",,"05/13/2026 5:58:34 PM"
"postcss.config.mjs","C:\Users\speci.000\Documents\NEXUS\postcss.config.mjs","-a---","81","05/13/2026 5:58:34 PM"
"nexus-scan.py","C:\Users\speci.000\Documents\NEXUS\nexus-scan.py","-a---","9576","05/13/2026 5:58:34 PM"
"nexus-glm5-fusion-pack","C:\Users\speci.000\Documents\NEXUS\nexus-glm5-fusion-pack","d----",,"05/13/2026 5:58:34 PM"
"nexus-fusion-pack","C:\Users\speci.000\Documents\NEXUS\nexus-fusion-pack","d----",,"05/13/2026 5:58:34 PM"
"next.config.ts","C:\Users\speci.000\Documents\NEXUS\next.config.ts","-a---","233","05/13/2026 5:58:34 PM"
"mini-services","C:\Users\speci.000\Documents\NEXUS\mini-services","d----",,"05/13/2026 5:58:34 PM"
"handoff","C:\Users\speci.000\Documents\NEXUS\handoff","d----",,"05/13/2026 5:58:34 PM"
"dev.err","C:\Users\speci.000\Documents\NEXUS\dev.err","-a---","38","05/13/2026 5:58:34 PM"
"SOUL.md","C:\Users\speci.000\Documents\NEXUS\SOUL.md","-a---","2049","05/13/2026 5:58:34 PM"
"NEXUS_OS_STATUS_REPORT.md","C:\Users\speci.000\Documents\NEXUS\NEXUS_OS_STATUS_REPORT.md","-a---","43159","05/13/2026 5:58:34 PM"
"HEARTBEAT.md","C:\Users\speci.000\Documents\NEXUS\HEARTBEAT.md","-a---","2314","05/13/2026 5:58:34 PM"
"Caddyfile","C:\Users\speci.000\Documents\NEXUS\Caddyfile","-a---","493","05/13/2026 5:58:34 PM"
".zscripts","C:\Users\speci.000\Documents\NEXUS\.zscripts","d----",,"05/13/2026 5:58:34 PM"
"nul","C:\Users\speci.000\Documents\NEXUS\nul","-a---","102","05/12/2026 4:23:20 AM"
".venv","C:\Users\speci.000\Documents\NEXUS\.venv","d----",,"05/05/2026 12:11:08 AM"
".devin","C:\Users\speci.000\Documents\NEXUS\.devin","d----",,"05/04/2026 11:28:58 PM"
".claude","C:\Users\speci.000\Documents\NEXUS\.claude","d----",,"05/01/2026 6:00:32 PM"
"nexus_api.db","C:\Users\speci.000\Documents\NEXUS\nexus_api.db","-a---","86016","04/22/2026 7:10:53 PM"
"nexus.db","C:\Users\speci.000\Documents\NEXUS\nexus.db","-a---","65536","04/17/2026 1:21:38 AM"
"venv","C:\Users\speci.000\Documents\NEXUS\venv","d----",,"04/13/2026 6:28:44 AM"
